,PC1,PC2,PC3
CEU:CNAG_CRG:ERR188047,-0.077963057,-0.062485082,-0.001098701
TSI:LUMC:ERR188063,-0.028032477,0.064446903,-0.02064105
TSI:UNIGE:ERR188088,-0.018248734,-0.010521971,-0.013480519
FIN:ICMB:ERR188118,0.119963191,-0.169369482,0.035022663
CEU:CNAG_CRG:ERR188135,-0.025630271,0.012114479,0.08935361
YRI:CNAG_CRG:ERR188151,-0.050454187,-0.054482423,-0.054811155
YRI:LUMC:ERR188158,-0.066122099,-0.058997794,-0.041313672
YRI:UNIGE:ERR188162,-0.028288498,0.04782918,-0.011977529
FIN:ICMB:ERR188163,0.099764519,-0.028275508,0.080220725
YRI:MPIMG:ERR188165,-0.043540813,-0.024475158,-0.131808978
GBR:ICMB:ERR188167,-0.027668717,0.001789905,-0.016308622
FIN:ICMB:ERR188180,-0.006923924,-0.048867591,-0.083510003
FIN:ICMB:ERR188187,0.014174174,0.019157972,-0.044190465
FIN:MPIMG:ERR188190,0.034031902,0.076805709,-0.133655223
CEU:MPIMG:ERR188202,-0.046840411,-0.001930932,0.009321602
GBR:CNAG_CRG:ERR188206,0.023640232,-0.024970322,-0.066116548
CEU:CNAG_CRG:ERR188213,-0.051350209,0.009399621,0.032780806
YRI:LUMC:ERR188214,0.051411054,-0.15584103,0.079120984
GBR:LUMC:ERR188231,0.086942876,-0.093600026,0.024385525
GBR:UNIGE:ERR188247,0.039118175,0.151453511,-0.090300293
FIN:ICMB:ERR188248,0.006760008,-0.012432338,-0.158042884
TSI:UNIGE:ERR188254,0.013459281,0.134484154,0.040606487
YRI:MPIMG:ERR188273,-0.050221571,0.010560861,-0.015915247
TSI:UNIGE:ERR188288,-0.000725419,0.056481799,-0.02841814
TSI:UNIGE:ERR188297,0.009278771,0.039197409,0.118945601
FIN:UNIGE:ERR188304,0.123701225,0.001806917,0.03807482
GBR:UNIGE:ERR188307,0.119301597,-0.06529618,0.000177129
YRI:ICMB:ERR188311,-0.032077111,-0.032177915,0.08450913
CEU:UNIGE:ERR188325,-0.031202849,0.036791608,0.118287153
CEU:UNIGE:ERR188327,-0.012884519,0.045808463,0.140211521
TSI:UNIGE:ERR188329,-0.008663822,0.079725033,0.115509579
GBR:MPIMG:ERR188368,-0.014737626,0.032427118,-0.01035426
TSI:UU:ERR188369,-0.010518176,-0.014390511,-0.132669497
CEU:UU:ERR188376,-0.090006661,-0.112668059,-0.054272101
TSI:MPIMG:ERR188380,-0.034956507,-0.017575003,0.183848222
GBR:MPIMG:ERR188416,0.006669921,0.091590916,0.081857366
GBR:HMGU:ERR188428,-0.037168531,0.002381524,-0.018644809
FIN:MPIMG:ERR188445,0.116474901,0.03204213,-0.110590143
YRI:UNIGE:ERR188449,0.0485843,0.14447247,-0.053646578
CEU:HMGU:ERR188474,-0.04728035,0.010457886,0.06098337
CEU:UU:ERR188481,-0.071769591,-0.112868241,-0.041449877